,article_title,category
0,"Barcelona financial situation could dictate De Jong future, says Xavi



Barcelona coach Xavi Hernandez suggested on Saturday the club’s dire financial situation could force them to consider selling Frenkie de Jong this summer.",sports
1,"Liverpool win FA Cup final in shoot-out against Chelsea



Liverpool held their nerve to win the FA Cup for the first time since 2006 after a dramatic penalty shoot-out against Chelsea as the quadruple chasers kept their history bid alive on Saturday.",sports
2,"Spain La Liga results & fixtures (37th matchday)



Follow Ahram Online's coverage of Spain La Liga matches of the 2021/2022 season (14 / 15 May)",sports
3,"Last-gasp Stuttgart survives in dramatic Bundesliga finale



Wataru Endo scored in injury time for Stuttgart to clinch Bundesliga survival at Hertha Berlin's expense after a dramatic 2-1 win over Cologne in the final round on Saturday.",sports
4,"Salernitana rescues 1-1 draw at Empoli, Venezia relegated



Diego Perotti was in tears at the final whistle and had to be consoled by his teammates after his late penalty was saved in relegation-threatened Salernitana's 1-1 draw with Empoli in Serie A on Saturday.",sports
5,"Bayern Munich insists Lewandowski will stay next season



Robert Lewandowski banged in his 35th league goal on the final day of the Bundesliga season Saturday as Bayern Munich contradicted reports their top-scoring striker could join Barcelona this summer.",sports
6,"Lukaku starts for Chelsea in FA Cup final against Liverpool



Romelu Lukaku was named in Chelsea's starting line-up for the FA Cup final against Liverpool on Saturday, just 24 hours after his agent said he wanted to talk to the club's new owners about the Belgian striker's future.",sports
7,"Germany Bundesliga results & scorers (Final matchday)



Follow Ahram Online's coverage of Germany Bundesliga matches of the 2021/2022 season (14 May)",sports
8,"Hazard wants to stay at Real Madrid, says Ancelotti



Eden Hazard will stay at Real Madrid next season as the Belgian is determined to prove his worth after a nightmare three years, Carlo Ancelotti said on Saturday.",sports
9,"Atletico Madrid and Sevilla battle for third in La Liga



Sevilla will secure Champions League qualification with a point against Atletico Madrid on Sunday while the winner would be in pole position to finish third in La Liga.",sports
10,"China withdraws as 2023 football Asian Cup host due to pandemic



China has withdrawn as the 2023 Asian Cup host due to the coronavirus, football officials said Saturday, with Beijing's strict zero-Covid strategy dealing another blow to the country's sporting ambitions.",sports
11,"Guardiola slams former United stars over Man City criticism



 Pep Guardiola has hit back at former Manchester United stars Patrice Evra and Dimitar Berbatov for criticising the character of his Manchester City side after their painful Champions League exit.",sports
12,"Man City unveils statue honoring record-scorer Aguero



Manchester City unveiled a statue of Sergio Aguero on the 10th anniversary of the retired striker's dramatic stoppage-time goal that clinched the club's first Premier League title.",sports
13,"Tuchel hopes Chelsea's Kovacic can play through pain in FA Cup final



Thomas Tuchel hopes Mateo Kovacic can play through the pain barrier as the Chelsea midfielder battles to recover from an ankle injury in time for Saturday's FA Cup final against Liverpool.",sports
14,"Man City unveils statue honoring record-scorer Aguero



Manchester City unveiled a statue of Sergio Aguero on the 10th anniversary of the retired striker's dramatic stoppage-time goal that clinched the club's first Premier League title.",sports
15,"Milan on brink of title triumph as relegation battle hots up



AC Milan welcome Atalanta to the San Siro on Sunday knowing this could be the weekend that they snatch the Scudetto from local rivals Inter Milan.",sports
16,"Liverpool's quadruple bid at stake in FA Cup final against Chelsea



Liverpool will bid to keep their quadruple chase alive in Saturday's FA Cup final against a Chelsea side hoping to welcome incoming owner Todd Boehly with victory at Wembley.",sports
